title,description,genres
Pink Floyd: The Wall,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,"Drama, Fantasy, Music"
The Night of the Hunter,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.","Crime, Drama, Film-Noir"
Cinderella Man,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world.","Biography, Drama, Romance"
Wings of Desire,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal.","Drama, Fantasy, Romance"
Rio Bravo,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",Western
Laputa: Castle in the Sky,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,"Animation, Adventure, Family"
Mommy,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.",Drama
La dolce vita,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.,"Comedy, Drama"
The Cabinet of Dr. Caligari,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.","Horror, Mystery, Thriller"
Nausicaä of the Valley of the Wind,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"Animation, Adventure, Sci-Fi"
I Want to Eat Your Pancreas,"A high school student discovers one of his classmates, Sakura Yamauchi, is suffering from a terminal illness. This secret brings the two together, as she lives out her final moments.","Animation, Drama, Family"
Who's Afraid of Virginia Woolf?,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",Drama
The Hustler,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,"Drama, Sport"
Mirror,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.","Biography, Drama"
Wolfwalkers,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,"Animation, Action, Adventure"
Infernal Affairs,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.","Action, Crime, Drama"
Silenced,"Based on real events, this film depicts the story of a school for the hearing-impaired where young deaf students were sexually assaulted by the faculty members over a long period of time.",Drama
Anatomy of a Murder,"An upstate Michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. What is the truth, and will he win his case?","Drama, Mystery"
Touch of Evil,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.","Crime, Drama, Film-Noir"
The Straight Story,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,"Biography, Drama"
The Killing,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.,"Crime, Drama, Film-Noir"
The Legend of 1900,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.","Drama, Music, Romance"
Stalag 17,"After two Americans are killed while escaping from a German P.O.W. camp in World War II, the barracks black marketeer, J.J. Sefton, is suspected of being an informer.","Comedy, Drama, War"
Secrets & Lies,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.","Comedy, Drama"
Elite Squad,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.","Action, Crime, Drama"
The Phantom Carriage,"On New Year's Eve, the driver of a ghostly carriage forces a drunken man to reflect on his selfish, wasted life.","Drama, Fantasy, Horror"
"Quo vadis, Aida?","Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp.","Drama, History, War"
The Tale of the Princess Kaguya,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.","Animation, Drama, Family"
My Sassy Girl,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.","Comedy, Drama, Romance"
Song of the Sea,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.","Animation, Adventure, Drama"
Dilwale Dulhania Le Jayenge,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.","Drama, Romance"
Fitzcarraldo,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.","Adventure, Drama"
The Diving Bell and the Butterfly,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,"Biography, Drama"
Nostalgia,"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved.",Drama
Evangelion: 3.0+1.01 Thrice Upon a Time,"The fourth and final installment of the Rebuild of Evangelion. Misato and her anti-Nerv group Wille arrive in Paris, a city now red from core-ization. Crew from the flagship Wunder land on a containment tower.","Animation, Action, Drama"
Out of the Past,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames.","Crime, Drama, Film-Noir"
Le Samouraï,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,"Crime, Drama"
The Life and Death of Colonel Blimp,"From the Boer War through World War II, a soldier rises through the ranks in the British military.","Drama, Romance, War"
Love Exposure,"A bizarre love triangle forms between a young Catholic upskirt photographer, a misandric girl and a manipulative cultist.","Action, Comedy, Drama"
The Sea Inside,"The factual story of Spaniard Ramon Sampedro, who fought a 28-year campaign in favor of euthanasia and his own right to die.","Biography, Drama"
Fail-Safe,A technical malfunction sends American planes to Moscow to deliver a nuclear attack. Can all-out war be averted?,"Drama, Thriller"
Nobody Knows,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning.",Drama
Brief Encounter,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.","Drama, Romance"
"Spring, Summer, Fall, Winter... And Spring",A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,"Drama, Romance"
My Man Godfrey,A scatterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye.,"Comedy, Drama, Romance"
Sweet Smell of Success,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,"Drama, Film-Noir"
"Black Cat, White Cat",Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,"Comedy, Crime, Romance"
Day for Night,"A committed film director struggles to complete his movie while coping with a myriad of crises, personal and professional, among the cast and crew.","Comedy, Drama, Romance"
Sleuth,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.","Mystery, Thriller"
The Shop Around the Corner,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.","Comedy, Drama, Romance"
Au Revoir les Enfants,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. Occupying the next bed in the dormitory to the top student in his class, the two young boys begin to form a bond.","Drama, War"
La Strada,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",Drama
Cries and Whispers,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",Drama
The Night,A day in the life of an unfaithful married couple and their steadily deteriorating relationship.,Drama
Ivan's Childhood,"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines.","Drama, War"
Departures,A newly unemployed cellist takes a job preparing the dead for funerals.,Drama
Fear Eats the Soul,"A lonely widow meets a much younger Moroccan worker in a bar during a rainstorm. They fall in love, to their own surprise and to the outright shock of their families, colleagues, and drinking buddies.","Drama, Romance"
The Exterminating Angel,The guests at an upper-class dinner party find themselves unable to leave.,"Drama, Fantasy"
The Wild Pear Tree,"An unpublished writer returns to his hometown after graduating, where he seeks sponsors to publish his book while dealing with his father's deteriorating indulgence into gambling.",Drama
Haider,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.","Action, Crime, Drama"
Limelight,A fading comedian and a suicidally despondent ballet dancer must look to each other to find purpose and hope in their lives.,"Drama, Music, Romance"
Gulaal,"A law student witnesses deception, homicide, and crime after being elected as General Secretary of his college.","Crime, Drama, Thriller"
Elite Squad 2: The Enemy Within,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.","Action, Crime, Drama"
Kind Hearts and Coronets,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,"Comedy, Crime"
Central Station,"The emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew.",Drama
Manon des Sources,A beautiful but shy shepherdess plots vengeance on the men whose greedy conspiracy to acquire her father's land caused his death years earlier.,"Drama, Romance"
Through a Glass Darkly,"Recently released from a mental hospital, Karin rejoins her emotionally disconnected family in their island home, only to slip from reality as she begins to believe she is being visited by God.",Drama
The Fool,"Dima Nikitin is an ordinary honest plumber who suddenly decides to face the corrupt system of local politics in order to save the lives of 800 inhabitants of an old dormitory, which is about to collapse.","Crime, Drama, Thriller"
G.O.R.A.,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,"Adventure, Comedy, Sci-Fi"
Sanjuro,"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent.","Action, Drama, Thriller"
Investigation of a Citizen Above Suspicion,"A chief of detectives, homicide section, kills his mistress and deliberately leaves clues to prove his own responsibility for the crime.","Crime, Drama"
Castaway on the Moon,A failed suicide attempt leads a heartbroken man to live a life in the wilderness.,"Comedy, Drama, Romance"
"Rome, Open City","During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape.","Drama, Thriller, War"
The Blue Elephant,"The story of Dr. Yehia, a psychotherapist at Al Abbasia hospital. He works in the department treating the criminally insane, only to find his best friend to be one of the patients. Trying ... See full summary »","Drama, Horror, Mystery"
The Stoning of Soraya M.,A desperate woman asks for a meeting with a journalist to disclose the cruel and inhumane punishment of her niece.,Drama
Karthikeya 2,"A sequel to mystic thriller Karthikeya (2014), which deals with the personal problems of Karthik and how he comes out of them. His pursuit of the truth leads him to find out the power of Indian ancient system and Tatva of Lord Sri Krishna.","Action, Adventure, Fantasy"
Werckmeister Harmonies,A naive young man witnesses an escalation of violence in his small hometown following the arrival of a mysterious circus attraction.,"Drama, Mystery"
The Ox-Bow Incident,"When a posse captures three men suspected of killing a local farmer, they become strongly divided over whether or not to lynch the men.","Drama, Western"
Captains Courageous,"A spoiled brat who falls overboard from a steamship in the 1920s gets picked up by a New England fishing boat, where he's made to earn his keep by joining the crew in their work.","Adventure, Drama, Family"
Trouble in Paradise,A gentleman thief and a lady pickpocket join forces to con a beautiful perfume company owner. Romantic entanglements and jealousies confuse the scheme.,"Comedy, Crime, Romance"
Winter Light,A small-town priest struggles with his faith.,Drama
Maqbool,The intrigue of the Shakespearean tragedy 'Macbeth' is transposed to the Mumbai underworld.,"Crime, Drama, Thriller"
A Short Film About Killing,A soon-to-be lawyer crosses his path with a taxi driver and a young sinister man.,"Crime, Drama"
Malik,"A past ridden with crime, death and pain is recounted to Freddy, a juvenile criminal, who has been assigned to eliminate his estranged uncle Sulaiman, an aging patriarch, while behind bars.","Action, Biography, Drama"
The Bad Sleep Well,A vengeful young man marries the daughter of a corrupt industrialist in order to seek justice for his father's suicide.,"Crime, Drama, Thriller"
Brotherhood,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.","Action, Drama, War"
Special Chabbis,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,"Crime, Drama, Thriller"
Shame,"In the midst of a civil war, former violinists Jan and Eva Rosenberg, who have a tempestuous marriage, run a farm on a rural island. In spite of their best efforts to escape their homeland, the war impinges on every aspect of their lives.",Drama
Divorce Italian Style,"A married Sicilian baron falls in love with his cousin and vows to wed her, but with divorce illegal he must concoct a crime of passion to do away with his wife.","Comedy, Drama, Romance"
The Road,"When five Kurdish prisoners are granted one week's home leave, they find to their dismay that they face continued oppression outside of prison from their families, the culture, and the government.",Drama
Lage Raho Munna Bhai,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,"Comedy, Drama, Romance"
Forbidden Games,"A young French girl orphaned in a Nazi air attack is befriended by the son of a poor farmer, and together they try to come to terms with the realities of death.","Comedy, Drama, War"
Arjun Reddy,"Arjun Reddy, a short tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.","Action, Drama, Romance"
Vaastav: The Reality,Consequences force an innocent man to get involved in crime after making an error.,"Action, Crime, Drama"
The Blue Elephant 2,"A meeting with a new inmate in the psychiatric hospital flips Dr. Yehia's life upside down, he prophesies that the death of his entire family is only three days away.","Crime, Drama, Horror"
The Last Laugh,"An aging doorman is forced to face the scorn of his friends, neighbors and society after being fired from his prestigious job at a luxurious hotel.",Drama
Ivy,"When the crew of a bankrupt cargo ship gets stuck on board for months, isolation breeds pressures that sink the men into a sea of madness and terror.","Drama, Fantasy, Thriller"
Vizontele,"Lives of residents in a small, Anatolian village change when television is introduced to them.","Comedy, Drama"
Andaz Apna Apna,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,"Action, Comedy, Romance"
Karnan,"Karnan, a fearless village youth, must fight for the rights of the conservative people of his village, due to the torture given by a police officer.","Action, Drama"
The Cameraman,"Hopelessly in love with a woman working at MGM Studios, a clumsy man attempts to become a motion-picture cameraman to be close to the object of his desire.","Comedy, Drama, Family"
1: Nenokkadine,A rock star must overcome his psychological inhibitions to seek revenge for his parents' death.,"Action, Thriller"
Company,"A small-time gangster named Chandu teams up with Malik, a low-level enforcer for a criminal syndicate. Together they eliminate all their enemies, becoming the most feared gangsters in Mumbai.","Action, Crime, Drama"
On Board,"Sailors want to remain in their small world, warm and cozy and full of lies, but they kidnap a prostitute from some pimps.","Crime, Drama"
Charlie,"A young, nonconforming woman named Tessa gets entangled in a cat-and-mouse chase in the by-lanes of Kerala, hunting for a mysterious artist who previously lived in her apartment.","Adventure, Drama, Romance"
The Wounds,This film follows two Belgrade youths on their rise to gangster legends in a decaying society.,"Comedy, Crime, Drama"
Deewaar,"Vijay struggles as a dockworker and eventually becomes a leading figure of the underworld, while his younger brother Ravi is an educated, upright policeman. This divide causes problems in their relationship.","Action, Crime, Drama"
The Breath,Story of 40-man Turkish task force who must defend a relay station.,"Action, Drama, Thriller"
Manjhi: The Mountain Man,"Using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain.","Biography, Drama"
Pokiri,A money-minded criminal has to deal with two rival gangs as well as an evil cop threatening his girlfriend.,"Action, Crime, Thriller"
Cars of the Revolution,"In the years of military coup, Turkey was unable to produce its own cars. But Pasha believed that Turkish people can produce their own cars so he ordered 2 cars. Gunduz and engineers with him must produce 2 cars in only 130 days.",Drama
My Grandfather's People,"Grandpapa and his family were torn from their land, forced to migrate from Crete during the population exchange when he was just seven years old. Grands greatest desire is to see the land ... See full summary »","Comedy, Drama, Family"
Abbas in Flower,"Abbas is the assistant of Sakir who is a rogue guy, and Abbas has a dream which is to buy a minibus for his own.","Comedy, Drama, Romance"
Puss in Boots: The Last Wish,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Animation, Adventure, Comedy"
Titanic,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","Drama, Romance"
Avatar,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,"Action, Adventure, Fantasy"
Knives Out,"A detective investigates the death of the patriarch of an eccentric, combative family.","Comedy, Crime, Drama"
Jojo Rabbit,A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home.,"Comedy, Drama, War"
RRR,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.,"Action, Adventure, Drama"
In Bruges,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.","Comedy, Crime, Drama"
Edge of Tomorrow,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.","Action, Adventure, Sci-Fi"
Harry Potter and the Prisoner of Azkaban,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.","Adventure, Family, Fantasy"
A Christmas Story,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift.","Comedy, Family"
Mystic River,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,"Crime, Drama, Mystery"
Almost Famous,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,"Adventure, Comedy, Drama"
Shrek,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.","Animation, Adventure, Comedy"
Arrival,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world.,"Drama, Mystery, Sci-Fi"
Mulholland Drive,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.","Drama, Mystery, Thriller"
True Romance,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.","Crime, Drama, Romance"
Boogie Nights,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",Drama
Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","Action, Adventure, Sci-Fi"
The Perks of Being a Wallflower,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,Drama
Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.","Action, Adventure, Comedy"
Fantastic Mr. Fox,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,"Animation, Adventure, Comedy"
Bohemian Rhapsody,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).","Biography, Drama, Music"
E.T. the Extra-Terrestrial,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,"Adventure, Family, Sci-Fi"
Star Trek,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,"Action, Adventure, Sci-Fi"
Wonder,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.","Drama, Family"
The Bourne Identity,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.","Action, Mystery, Thriller"
"Crouching Tiger, Hidden Dragon",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,"Action, Adventure, Drama"
Marriage Story,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,"Drama, Romance"
District 9,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,"Action, Sci-Fi, Thriller"
Dallas Buyers Club,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.","Biography, Drama"
Life of Pi,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.","Adventure, Drama, Fantasy"
The Wrestler,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.","Drama, Sport"
Shaun of the Dead,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.","Comedy, Horror"
The Blues Brothers,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.","Action, Adventure, Comedy"
X-Men: Days of Future Past,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,"Action, Adventure, Sci-Fi"
Edward Scissorhands,The solitary life of an artificial man - who was incompletely constructed and has scissors for hands - is upended when he is taken in by a suburban family.,"Drama, Fantasy, Romance"
Do the Right Thing,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.","Comedy, Drama"
This Is Spinal Tap,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.","Comedy, Music"
Boyhood,"The life of Mason, from early childhood to his arrival at college.",Drama
Brazil,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,"Drama, Sci-Fi"
Toy Story 2,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.","Animation, Adventure, Comedy"
Before Midnight,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,"Drama, Romance"
Doctor Zhivago,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.","Drama, Romance, War"
The Adventures of Robin Hood,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.","Action, Adventure, Romance"
The Ten Commandments,"Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.","Adventure, Drama, Family"
"Blood In, Blood Out","Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.","Crime, Drama"
Carlito's Way,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.","Crime, Drama, Thriller"
Let the Right One In,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.","Drama, Fantasy, Horror"
The Man from Earth,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,"Drama, Fantasy, Mystery"
Spartacus,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising.","Adventure, Biography, Drama"
The Philadelphia Story,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.","Comedy, Romance"
The Nightmare Before Christmas,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.","Animation, Family, Fantasy"
In the Heat of the Night,"A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case.","Drama, Mystery, Thriller"
Three Colors: Blue,A woman struggles to find a way to live her life after the death of her husband and child.,"Drama, Music, Mystery"
The Artist,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,"Comedy, Drama, Romance"
Nosferatu,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,"Fantasy, Horror"
Ghost in the Shell,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,"Animation, Action, Crime"
A Streetcar Named Desire,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Drama
All the President's Men,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.","Drama, History, Thriller"
Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,"Comedy, Drama, Music"
Harold and Maude,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.","Comedy, Drama, Romance"
Charade,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,"Comedy, Mystery, Romance"
A Fistful of Dollars,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.","Action, Drama, Western"
The Searchers,An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.,"Adventure, Drama, Western"
Hero,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.","Action, Adventure, Drama"
The Raid 2,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.","Action, Crime, Thriller"
Shoplifters,A family of small-time crooks take in a child they find outside in the cold.,"Crime, Drama, Thriller"
The Wild Bunch,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.","Action, Adventure, Western"
Letters from Iwo Jima,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.","Action, Adventure, Drama"
Togo,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.","Adventure, Biography, Drama"
My Name Is Khan,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,"Adventure, Drama, Romance"
Dancer in the Dark,An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.,"Crime, Drama, Musical"
The Big Country,"A New England sea captain in the 1880s arrives at his fiancée's sprawling Texas ranch, where he becomes embroiled in a feud between two families over a valuable patch of land.","Romance, Western"
The Big Sleep,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.","Crime, Film-Noir, Mystery"
The Lion in Winter,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision.","Biography, Drama, History"
King Kong,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,"Adventure, Horror, Sci-Fi"
Rope,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,"Crime, Drama, Mystery"
Patton,The World War II phase of the career of controversial American general George S. Patton.,"Biography, Drama, War"
Short Term 12,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,Drama
My Left Foot,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.","Biography, Drama"
Tampopo,A truck driver stops at a small family-run noodle shop and decides to help its fledgling business. The story is intertwined with various vignettes about the relationship of love and food.,Comedy
The Manchurian Candidate,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.,"Drama, Thriller"
